state,collection_date,ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of ICU Beds Occupied Estimated,Percentage LL,Percentage UL
PR,2020-06-19,620.414785992218,589.6138341330783,651.2157378513575,0.5488721804511278,0.5179892265384863,0.5797551343637694
PR,2020-06-20,620.414785992218,589.6138341330783,651.2157378513575,0.5488721804511278,0.5179892265384863,0.5797551343637694
PR,2020-06-21,645.9112840466926,615.127550099256,676.6950179941291,0.5671641791044776,0.5365288299145183,0.5977995282944368
PR,2020-06-22,637.4124513618676,606.0063327610396,668.8185699626957,0.5434782608695652,0.5131294613781772,0.5738270603609532
PR,2020-06-23,747.8972762645914,718.6102905302828,777.1842619989001,0.6616541353383458,0.6322891782159425,0.6910190924607491
PR,2020-06-24,688.4054474708172,658.2009743812554,718.6099205603789,0.6090225563909775,0.5787376692664984,0.6393074435154565
PR,2020-06-25,705.403112840467,674.5333174502541,736.2729082306797,0.6014492753623188,0.5716187432120314,0.6312798075126063
PR,2020-06-26,705.403112840467,674.5333174502541,736.2729082306797,0.6014492753623188,0.5716187432120314,0.6312798075126063
PR,2020-06-27,671.4077821011673,640.2150861882615,702.600478014073,0.572463768115942,0.5423212062193676,0.6026063300125164
PR,2020-06-28,620.414785992218,588.9422696035299,651.8873023809059,0.5289855072463768,0.49857254531657846,0.5593984691761752
PR,2020-06-29,705.403112840467,674.5333174502541,736.2729082306797,0.6014492753623188,0.5716187432120314,0.6312798075126063
PR,2020-06-30,728.0666666666668,694.9899032958695,761.1434300374641,0.5639097744360902,0.5353486624952436,0.5924708863769369
PR,2020-07-01,696.904280155642,665.9433286118991,727.8652316993848,0.5942028985507246,0.5642842791120635,0.6241215179893858
PR,2020-07-02,645.9112840466926,614.5483993882981,677.274168705087,0.5507246376811594,0.520417616617307,0.5810316587450118
PR,2020-07-03,689.2364444444446,655.9625682017341,722.510320687155,0.5338345864661654,0.5051032715723702,0.5625659013599607
PR,2020-07-04,660.1137777777777,626.904328310487,693.3232272450686,0.5151515151515151,0.48625859143906747,0.5440444388639628
PR,2020-07-05,650.4062222222223,617.1853284551946,683.6271159892499,0.5075757575757576,0.4786728770803899,0.5364786380711253
PR,2020-07-06,669.8213333333334,636.494587432107,703.1480792345599,0.518796992481203,0.4900200257133649,0.5475739592490412
PR,2020-07-07,640.6986666666667,607.3492879982127,674.0480453351206,0.49624060150375937,0.46744409180207763,0.525037111205441
PR,2020-07-08,669.8213333333334,636.494587432107,703.1480792345599,0.518796992481203,0.4900200257133649,0.5475739592490412
PR,2020-07-09,669.8213333333334,636.494587432107,703.1480792345599,0.518796992481203,0.4900200257133649,0.5475739592490412
PR,2020-07-10,718.359111111111,685.3793815984449,751.3388406237772,0.5606060606060606,0.5319129981147612,0.5892991230973599
PR,2020-07-11,728.0666666666668,694.9899032958695,761.1434300374641,0.5639097744360902,0.5353486624952436,0.5924708863769369
PR,2020-07-12,708.6515555555557,675.4609303562196,741.8421807548917,0.5488721804511278,0.5202127511388314,0.5775316097634243
PR,2020-07-13,650.4062222222224,617.0568435537684,683.7556008906762,0.5037593984962406,0.4749628887945589,0.5325559081979223
PR,2020-07-14,630.9911111111112,597.6492749913613,664.332947230861,0.48872180451127817,0.4599318076468847,0.5175118013756717
RI,2020-03-03,155.9,141.15596595229107,170.6440340477089,0.625,0.5639329272377861,0.6860670727622139
RI,2020-03-04,155.9,141.15596595229107,170.6440340477089,0.625,0.5639329272377861,0.6860670727622139
RI,2020-03-05,93.53999999999999,78.79596595229107,108.28403404770893,0.375,0.3139329272377861,0.4360670727622139
RI,2020-03-06,93.53999999999999,78.79596595229107,108.28403404770893,0.375,0.3139329272377861,0.4360670727622139
RI,2020-03-07,62.36,49.17253504270059,75.54746495729943,0.25,0.19537994964670555,0.3046200503532945
RI,2020-03-08,62.36,49.17253504270059,75.54746495729943,0.25,0.19537994964670555,0.3046200503532945
RI,2020-03-09,31.18,21.107907268099645,41.252092731900355,0.125,0.08328324746562146,0.16671675253437854
RI,2020-03-10,93.53999999999999,78.79596595229107,108.28403404770893,0.375,0.3139329272377861,0.4360670727622139
RI,2020-03-11,93.53999999999999,78.79596595229107,108.28403404770893,0.375,0.3139329272377861,0.4360670727622139
RI,2020-03-12,124.72,109.49242711394886,139.94757288605115,0.5,0.4369301984507491,0.5630698015492509
RI,2020-03-13,93.53999999999999,78.79596595229107,108.28403404770893,0.375,0.3139329272377861,0.4360670727622139
